KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T000846001,T000846002,T000846003,T000846004,T000846005,T000846006,T000846007,T000846008,T000846009,T000846010,T000846011,T000846012,T000846013,T000846014,T000846015,T000846016,T000846017,T000846018,T000846019,T000846020,T000846021,T000846022,T000846023,T000846024,T000846025,T000846026,T000846027,T000846028,T000846029,T000846030,T000846031,T000846032,T000846033,T000846034,T000846035,T000846036,T000846037,T000846038,T000846039,T000846040,T000846041
,,,,Å@êlå˚ëçêî,Å@êlå˚ëçêîÅ@íj,Å@êlå˚ëçêîÅ@èó,Å@ÇOÅ`ÇPÇSçŒêlå˚ëçêî,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@íj,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@èó,Å@ÇPÇTçŒà»è„êlå˚ëçêî,Å@ÇPÇTçŒà»è„êlå˚Å@íj,Å@ÇPÇTçŒà»è„êlå˚Å@èó,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚ëçêî,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@íj,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@èó,Å@ÇQÇOçŒà»è„êlå˚ëçêî,Å@ÇQÇOçŒà»è„êlå˚Å@íj,Å@ÇQÇOçŒà»è„êlå˚Å@èó,Å@ÇUÇTçŒà»è„êlå˚ëçêî,Å@ÇUÇTçŒà»è„êlå˚Å@íj,Å@ÇUÇTçŒà»è„êlå˚Å@èó,Å@ÇVÇTçŒà»è„êlå˚ëçêî,Å@ÇVÇTçŒà»è„êlå˚Å@íj,Å@ÇVÇTçŒà»è„êlå˚Å@èó,Å@äOçëêlêlå˚ëçêî,Å@äOçëêlêlå˚Å@íj,Å@äOçëêlêlå˚Å@èó,Å@ê¢ë—ëçêî,Å@àÍî ê¢ë—êî,Å@ÇPêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇQêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇRêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇSêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇTêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇUêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇVêlà»è„ê¢ë—ÇÃàÍî ê¢ë—êî,Å@êeë∞ÇÃÇ›ÇÃàÍî ê¢ë—êî,Å@äjâ∆ë∞ÇÃàÍî ê¢ë—êî,Å@äjâ∆ë∞à»äOÇÃàÍî ê¢ë—êî,Å@ÇUçŒñ¢ñûê¢ë—àıÇÃÇ¢ÇÈàÍî ê¢ë—êî,Å@ÇUÇTçŒà»è„ê¢ë—àıÇÃÇ¢ÇÈàÍî ê¢ë—êî,Å@ê¢ë—éÂÇÃîNóÓÇ™ÇQÇOÅ`ÇQÇXçŒÇÃÇPêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@çÇóÓíPêgÇÃàÍî ê¢ë—êî,Å@çÇóÓïvïwÇÃÇ›ÇÃàÍî ê¢ë—êî
56394330,0,,,60,24,36,9,5,4,51,19,32,39,16,23,46,17,29,12,3,9,8,2,6,0,0,0,31,31,15,7,5,4,0,0,0,16,12,4,1,10,2,5,2
56394331,2,56394320,,2,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
56394333,1,,56394345,50,23,27,2,1,1,51,23,28,24,14,10,50,23,27,27,9,18,14,4,10,0,0,0,18,18,2,7,6,2,1,1,0,17,9,8,0,16,0,2,1
56394334,0,,,9,5,4,0,0,0,9,5,4,5,3,2,9,5,4,4,2,2,1,0,1,0,0,0,6,6,5,0,0,1,0,0,0,1,1,0,0,4,0,3,0
56394335,0,,,32,11,21,0,0,0,32,11,21,14,6,8,32,11,21,18,5,13,15,4,11,0,0,0,12,11,3,5,2,1,0,0,0,8,7,1,0,7,1,1,3
56394338,0,,,331,149,182,39,18,21,292,131,161,141,66,75,276,125,151,151,65,86,92,37,55,4,0,4,134,134,34,53,17,16,8,6,0,99,74,25,9,97,0,24,33
56394339,0,,,34,17,17,5,4,1,29,13,16,11,6,5,27,11,16,18,7,11,13,5,8,0,0,0,14,14,5,3,4,1,0,0,1,9,6,3,0,12,0,4,3
56394340,0,,,104,52,52,12,7,5,92,45,47,42,21,21,91,45,46,50,24,26,32,15,17,0,0,0,39,39,6,18,6,3,4,2,0,33,24,9,3,33,0,4,10
56394341,0,,,86,40,46,9,6,3,77,34,43,34,17,17,70,31,39,43,17,26,27,10,17,0,0,0,39,39,18,11,5,2,1,0,2,21,16,5,0,30,0,13,6
56394345,2,56394333,,3,1,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
56394347,2,56394357,,7,4,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,6,6,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
56394349,0,,,70,34,36,1,1,0,69,33,36,23,14,9,66,32,34,46,19,27,32,10,22,0,0,0,37,37,17,12,4,3,1,0,0,20,15,5,0,33,0,15,5
56394350,0,,,218,109,109,29,11,18,189,98,91,115,65,50,179,92,87,74,33,41,42,17,25,0,0,0,81,81,19,24,16,11,7,4,0,62,48,14,10,47,0,7,14
56394357,1,,56394347,14,6,8,0,0,0,21,10,11,6,4,2,21,10,11,15,6,9,12,5,7,0,0,0,3,2,7,1,0,0,0,0,0,1,1,0,0,3,1,2,1
56394360,0,,,222,72,150,2,0,2,220,72,148,34,22,12,218,72,146,186,50,136,165,37,128,0,0,0,35,33,16,8,3,2,2,2,0,17,9,8,0,25,0,10,3
56394370,0,,,35,18,17,5,3,2,30,15,15,20,11,9,29,14,15,10,4,6,7,3,4,0,0,0,14,14,2,7,3,1,0,1,0,12,11,1,2,7,0,1,3
