KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T001100001,T001100002,T001100003,T001100004,T001100005,T001100006,T001100007,T001100008,T001100009,T001100010,T001100011,T001100012,T001100013,T001100014,T001100015,T001100016,T001100017,T001100018,T001100019,T001100020,T001100021,T001100022,T001100023,T001100024,T001100025,T001100026,T001100027,T001100028,T001100029,T001100030,T001100031,T001100032,T001100033,T001100034,T001100035,T001100036,T001100037,T001100038,T001100039,T001100040,T001100041,T001100042,T001100043,T001100044,T001100045,T001100046,T001100047,T001100048,T001100049,T001100050
,,,,Å@êlå˚ÅiëçêîÅj,Å@êlå˚ÅiëçêîÅjÅ@íj,Å@êlå˚ÅiëçêîÅjÅ@èó,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@ëçêî,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@íj,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@èó,Å@ÇPÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇTçŒà»è„êlå˚Å@íj,Å@ÇPÇTçŒà»è„êlå˚Å@èó,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@ëçêî,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@íj,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@èó,Å@ÇPÇWçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇWçŒà»è„êlå˚Å@íj,Å@ÇPÇWçŒà»è„êlå˚Å@èó,Å@ÇQÇOçŒà»è„êlå˚Å@ëçêî,Å@ÇQÇOçŒà»è„êlå˚Å@íj,Å@ÇQÇOçŒà»è„êlå˚Å@èó,Å@ÇUÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇUÇTçŒà»è„êlå˚Å@íj,Å@ÇUÇTçŒà»è„êlå˚Å@èó,Å@ÇVÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇVÇTçŒà»è„êlå˚Å@íj,Å@ÇVÇTçŒà»è„êlå˚Å@èó,Å@ÇWÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇWÇTçŒà»è„êlå˚Å@íj,Å@ÇWÇTçŒà»è„êlå˚Å@èó,Å@ÇXÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇXÇTçŒà»è„êlå˚Å@íj,Å@ÇXÇTçŒà»è„êlå˚Å@èó,Å@äOçëêlêlå˚Å@ëçêî,Å@äOçëêlêlå˚Å@íj,Å@äOçëêlêlå˚Å@èó,Å@ê¢ë—ëçêî,Å@àÍî ê¢ë—êî,Å@ÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇQêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇRêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇSêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇTêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇVêlà»è„ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@êeë∞ÇÃÇ›ÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞à»äOÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUçŒñ¢ñûê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUÇTçŒà»è„ê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ê¢ë—éÂÇÃîNóÓÇ™ÇQÇOÅ`ÇQÇXçŒÇÃÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓíPêgê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓïvïwê¢ë—êîÅ@àÍî ê¢ë—êî
55384265,0,,,107,51,56,4,3,1,103,48,55,60,28,32,99,46,53,98,46,52,43,20,23,21,8,13,10,3,7,1,0,1,1,0,1,35,35,5,11,8,6,1,3,1,30,16,14,2,30,0,4,6
55384269,0,,,17,9,8,2,1,1,15,8,7,11,6,5,13,6,7,13,6,7,4,2,2,2,1,1,0,0,0,0,0,0,0,0,0,6,6,2,1,0,2,1,0,0,4,2,2,1,2,0,0,1
55384270,0,,,481,246,235,73,38,35,404,206,198,288,152,136,395,200,195,388,195,193,116,54,62,58,26,32,21,5,16,2,0,2,1,0,1,171,171,32,53,34,31,13,4,4,139,108,31,20,82,1,10,19
55384271,0,,,284,137,147,35,19,16,249,118,131,167,82,85,240,115,125,231,110,121,82,36,46,35,11,24,16,3,13,2,0,2,3,2,1,97,97,22,31,13,10,10,7,4,75,48,27,9,58,4,9,11
55384272,0,,,112,57,55,11,6,5,101,51,50,50,27,23,99,50,49,98,49,49,51,24,27,31,14,17,14,7,7,1,1,0,0,0,0,40,40,8,11,11,7,0,1,2,32,26,6,2,32,0,7,7
55384273,0,,,378,180,198,34,17,17,344,163,181,194,93,101,335,159,176,333,157,176,150,70,80,78,36,42,30,11,19,2,0,2,0,0,0,119,119,21,24,30,18,14,9,3,97,52,45,6,93,0,15,10
55384274,0,,,330,164,166,37,16,21,293,148,145,160,88,72,288,146,142,281,143,138,133,60,73,71,26,45,29,12,17,6,0,6,3,1,2,98,98,8,28,25,17,7,6,7,89,47,42,11,86,0,6,12
55384275,0,,,276,139,137,17,8,9,259,131,128,133,74,59,258,131,127,257,130,127,126,57,69,67,28,39,26,4,22,0,0,0,0,0,0,92,92,14,24,26,15,7,3,3,78,46,32,5,76,0,11,15
55384276,0,,,103,58,45,7,7,0,96,51,45,52,29,23,95,50,45,94,49,45,44,22,22,26,11,15,6,2,4,0,0,0,0,0,0,40,40,12,10,9,4,4,0,1,28,17,11,2,30,0,8,6
55384279,0,,,51,29,22,10,8,2,41,21,20,23,13,10,40,21,19,40,21,19,18,8,10,2,0,2,2,0,2,0,0,0,0,0,0,13,13,1,4,3,0,0,3,2,12,6,6,2,11,0,1,3
55384280,0,,,579,301,278,67,38,29,511,263,248,310,168,142,502,259,243,496,256,240,201,95,106,107,47,60,32,10,22,1,0,1,9,6,3,211,211,56,62,31,30,17,8,7,155,105,50,21,123,7,19,34
55384281,0,,,245,116,129,36,16,20,209,100,109,124,65,59,202,95,107,199,93,106,85,35,50,41,13,28,12,4,8,1,0,1,1,0,1,78,78,6,26,21,12,8,1,4,71,48,23,5,58,0,5,12
55384282,0,,,170,82,88,19,13,6,151,69,82,70,32,38,148,67,81,146,67,79,81,37,44,37,14,23,11,4,7,3,1,2,1,0,1,55,55,5,20,17,2,4,4,3,50,35,15,5,45,0,4,14
55384283,0,,,651,308,343,108,52,56,543,256,287,386,187,199,496,237,259,481,230,251,157,69,88,67,26,41,17,3,14,1,0,1,0,0,0,202,202,29,52,35,45,19,17,5,173,129,44,18,99,0,16,17
55384284,0,,,188,90,98,11,6,5,177,84,93,92,47,45,171,80,91,171,80,91,85,37,48,40,15,25,13,4,9,1,0,1,1,0,1,66,66,10,26,11,10,5,2,2,56,35,21,2,55,0,7,15
55384285,0,,,129,67,62,15,10,5,114,57,57,58,33,25,112,56,56,110,54,56,56,24,32,29,11,18,7,2,5,0,0,0,0,0,0,41,41,3,15,9,7,3,2,2,38,24,14,4,33,0,2,10
55384286,0,,,122,55,67,14,7,7,108,48,60,52,20,32,105,47,58,104,47,57,56,28,28,30,14,16,12,5,7,1,1,0,0,0,0,44,44,11,14,6,6,3,3,1,32,20,12,6,37,0,10,9
55384288,0,,,137,70,67,2,0,2,135,70,65,67,40,27,131,68,63,129,67,62,68,30,38,30,9,21,18,6,12,4,2,2,0,0,0,53,53,13,12,17,6,5,0,0,40,21,19,0,43,0,9,6
